Date,Open,High,Low,Close,Adj Close,Volume
2022-08-01,79.00,79.92,78.21,79.03,79.03,"926,800"
2022-08-02,79.47,80.07,78.36,79.03,79.64,"969,700"
2022-08-03,79.76,84.50,79.63,79.03,84.50,"1,901,400"
2022-08-04,84.63,87.91,84.61,87.08,87.08,"2,287,600"
2022-08-05,87.10,87.10,84.96,88.73,85.57,"977,300"
2022-08-08,86.17,87.59,84.51,84.57,84.57,"1,297,400"
2022-08-09,85.15,85.84,81.51,82.50,82.50,"1,403,300"
2022-08-10,83.49,87.00,83.35,86.40,86.40,"1,462,800"
2022-08-11,87.50,87.59,83.53,83.97,83.97,"1,873,500"
2022-08-12,87.20,90.69,85.80,89.75,89.75,"2,155,000"
2022-08-15,88.82,89.75,87.51,89.41,89.41,"1,611,500"
2022-08-16,90.01,90.09,86.83,87.85,87.85,"1,110,700"
2022-08-17,87.36,90.49,86.57,88.73,88.73,"728,500"
2022-08-18,88.84,90.09,87.72,89.36,89.36,"1,316,700"
2022-08-19,89.39,89.84,87.73,82.50,88.79,"1,154,800"
2022-08-22,88.50,89.43,87.68,86.40,88.39,"680,700"
2022-08-23,88.46,89.37,88.08,83.97,88.77,"602,000"
2022-08-24,88.99,91.87,88.94,89.75,90.96,"967,700"
2022-08-25,91.39,92.40,90.13,90.90,90.90,"733,700"
