Importers	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	Exported value in 2021	
"World"	25717737	33190826	26117540	28564147	38638731	
"China"	20310208	27342586	20502316	20903177	27208101	
"Spain"	757681	739564	763486	956740	1665074	
"Thailand"	622763	467144	604215	911435	1289044	
"Netherlands"	592434	531187	597112	1109035	1198838	
"Türkiye"	104761	521303	443781	720763	1014907	
"Pakistan"	358242	255942	265402	416187	693921	
"Iran, Islamic Republic of"	469124	511283	545031	245422	560651	
"Viet Nam"	230891	129824	236226	239601	553533	
"Mexico"	95803	134425	232177	288607	547088	
"Taipei, Chinese"	382264	132002	228677	334953	532639	
"Bangladesh"	0	31045	149484	236616	410136	
"Italy"	119815	90249	80701	210698	382192	
"Russian Federation"	415723	450301	354786	386639	343287	
"Algeria"	0	14	208	119028	275996	
"Korea, Republic of"	180050	197814	38480	199981	256659	
"Portugal"	80152	165750	120354	146805	243480	
"Japan"	175400	219279	181797	156084	216322	
"Saudi Arabia"	104571	117060	116454	112082	172009	
"Norway"	103446	110832	152720	125055	156155	
"United Kingdom"	247570	155234	133981	220984	154786	
"Tunisia"	23210	68113	70086	85281	137250	
"Argentina"	60432	245865	116128	124562	90842	
"France"	85918	42709	50503	27118	89769	
"United States of America"	0	965	1866	120	86036	
"Israel"	43308	57682	49535	65623	82483	
"Romania"	37083	66137	17545	76150	59932	
"Egypt"	39506	55439	0	0	52879	
"Greece"	5362	19173	3798	35843	49316	
"Belgium"	0	89023	0	46951	32116	
"Ukraine"	0	0	0	4326	19841	
"Canada"	0	0	0	0	15644	
"Switzerland"	0	7825	2026	0	15171	
"Paraguay"	4612	3654	2276	3306	8343	
"Malaysia"	30571	6193	3764	10485	7055	
"Philippines"	0	4070	0	0	5670	
"British Virgin Islands"	747	4577	10728	9074	3852	
"Indonesia"	178	10699	6273	0	3094	
"Uruguay"	10	3576	165	92	2025	
"Angola"	159	0	6	209	670	
"Cayman Islands"	0	825	0	0	636	
"Germany"	20565	93989	20257	11053	549	
"Colombia"	8727	0	1	7	525	
"Ghana"	29	0	0	5	109	
"Venezuela, Bolivarian Republic of"	484	48099	1224	11	33	
"Sierra Leone"	0	0	0	0	30	
"Finland"	447	501	154	175	27	
"South Africa"	0	0	0	11012	5	
"Guyana"	0	0	0	0	4	
"Chile"	0	0	0	1	3	
"Marshall Islands"	0	0	0	0	1	
"Bolivia, Plurinational State of"	2	3	21	0	1	
"Peru"	0	0	0	0	1	
"Afghanistan"	0	0	0	1474		
"Bahamas"	5235	0	0	0		
"Myanmar"	0	321	0	0		
"Benin"	108	0	0	0		
"Dominican Republic"	0	0	1904	0		
"Ireland"	0	0	0	4564		
"Lebanon"	0	0	4787	0		
"Morocco"	0	1065	0	6708		
"Mozambique"	45	60	0	0		
"Nigeria"	100	217	0	0		
"Senegal"	0	0	0	87		
"Singapore"	0	0	1	0		
"Slovakia"	0	1994	0	0		
"Slovenia"	0	3596	0	0		
"Sudan"	0	0	0	20		
"Turks and Caicos Islands"	0	51618	7103	0		
"Uganda"	3	0	0	0		
